criteria_prescribing_txt_id,parameter_prescribing_txt_id,pt_position,schedule_code
"9766","9765","1","4535"
"9768","9767","1","4535"
"9770","9769","1","4535"
"9776","9775","1","4535"
"9780","9702","1","4535"
"9780","9779","2","4535"
"9787","9786","1","4535"
"9787","9739","2","4535"
"9792","9791","1","4535"
"9794","9793","1","4535"
"9800","9799","1","4535"
"9814","9813","1","4535"
"9815","9786","1","4535"
"9815","9703","2","4535"
"9825","9824","1","4535"
"9830","9829","1","4535"
"9833","9831","1","4535"
"9833","9832","2","4535"
"9836","9835","1","4535"
"9847","9845","1","4535"
"9847","9846","2","4535"
"9907","9906","1","4535"
"9911","9910","1","4535"
"9914","9538","1","4535"
"9914","9279","2","4535"
"9914","9280","3","4535"
"9917","9538","1","4535"
"9917","9279","2","4535"
"9917","9916","3","4535"
"9948","9947","1","4535"
"9971","9970","1","4535"
"9980","9979","1","4535"
"9983","9981","1","4535"
"9983","9982","2","4535"
"9985","9984","1","4535"
"10000","9999","1","4535"
"10008","9928","1","4535"
"10008","10007","2","4535"
"10053","10052","1","4535"
"10056","10055","1","4535"
"10070","10069","1","4535"
"10076","10075","1","4535"
"10082","10081","1","4535"
"10089","10087","1","4535"
"10089","10088","2","4535"
"10112","10111","1","4535"
"10112","10088","2","4535"
"10213","10212","1","4535"
"10217","10216","1","4535"
"10219","10218","1","4535"
"10235","10234","1","4535"
"10299","10298","1","4535"
"10329","10327","1","4535"
"10329","10328","2","4535"
"10331","9142","1","4535"
"10331","10330","2","4535"
"10335","10334","1","4535"
"10347","10346","1","4535"
"10351","10350","1","4535"
"10361","10360","1","4535"
"10363","10362","1","4535"
"10368","10367","1","4535"
"10386","10062","1","4535"
"10386","10066","2","4535"
"10405","10404","1","4535"
"10433","10432","1","4535"
"10435","10434","1","4535"
"10438","10436","1","4535"
"10438","10437","2","4535"
"10440","10439","1","4535"
"10448","10447","1","4535"
"10450","10449","1","4535"
"10456","10455","1","4535"
"10460","10459","1","4535"
"10463","10461","1","4535"
"10463","10462","2","4535"
"10472","10471","1","4535"
"10475","10111","1","4535"
"10475","10474","2","4535"
"10477","10476","1","4535"
"10541","10540","1","4535"
"10594","10593","1","4535"
"10594","10393","2","4535"
"10601","9099","1","4535"
"10620","10619","1","4535"
"10658","10657","1","4535"
"10659","10652","1","4535"
"10660","10653","1","4535"
"10662","10655","1","4535"
"10667","10666","1","4535"
"10687","10686","1","4535"
"10727","9986","1","4535"
"10727","10726","2","4535"
"10727","10596","3","4535"
"10749","10748","1","4535"
"10751","10750","1","4535"
"10753","10752","1","4535"
"10757","10756","1","4535"
"10759","10758","1","4535"
"10765","10764","1","4535"
"10767","10766","1","4535"
"10771","10768","1","4535"
"10771","10769","2","4535"
"10771","10770","3","4535"
"10773","10772","1","4535"
"10776","10775","1","4535"
"10778","10777","1","4535"
"10780","10779","1","4535"
"10782","10781","1","4535"
"10788","10787","1","4535"
"10790","10789","1","4535"
"10796","10793","1","4535"
"10796","10795","2","4535"
"10800","10799","1","4535"
"10800","10795","2","4535"
"10828","10827","1","4535"
"10832","10831","1","4535"
"10842","10841","1","4535"
"10848","10847","1","4535"
"10859","10858","1","4535"
"10861","10860","1","4535"
"10877","10876","1","4535"
"10880","10879","1","4535"
"10947","10946","1","4535"
"10959","10647","1","4535"
"10961","10960","1","4535"
"10963","10962","1","4535"
"10972","10971","1","4535"
"10987","10986","1","4535"
"10999","10998","1","4535"
"11106","11105","1","4535"
"11155","11154","1","4535"
"11189","11188","1","4535"
"11196","11195","1","4535"
"11203","11202","1","4535"
"11212","11211","1","4535"
"11237","11236","1","4535"
"11245","11244","1","4535"
"11253","11252","1","4535"
"11262","11261","1","4535"
"11280","11279","1","4535"
"11294","11292","1","4535"
"11294","11293","2","4535"
"11308","11307","1","4535"
"11327","11325","1","4535"
"11327","11326","2","4535"
"11332","11331","1","4535"
"11365","11364","1","4535"
"11371","11370","1","4535"
"11381","11380","1","4535"
"11383","11382","1","4535"
"11389","11388","1","4535"
"11404","11403","1","4535"
"11406","11405","1","4535"
"11438","11437","1","4535"
"11466","10196","1","4535"
"11466","10197","2","4535"
"11466","10198","3","4535"
"11466","10199","4","4535"
"11475","11474","1","4535"
"11476","9536","1","4535"
"11478","11477","1","4535"
"11485","11484","1","4535"
"11494","11493","1","4535"
"11496","11495","1","4535"
"11501","11500","1","4535"
"11507","11506","1","4535"
"11510","11509","1","4535"
"11518","11515","1","4535"
"11518","11516","2","4535"
"11518","11517","3","4535"
"11530","11529","1","4535"
"11535","11534","1","4535"
"11538","11537","1","4535"
"11569","11568","1","4535"
"11571","11570","1","4535"
"11573","11572","1","4535"
"11593","11592","1","4535"
"11600","11599","1","4535"
"11607","11606","1","4535"
"11611","11610","1","4535"
"11646","11644","1","4535"
"11646","11645","2","4535"
"11646","10280","3","4535"
"11670","11668","1","4535"
"11670","11669","2","4535"
"11694","11693","1","4535"
"11726","11725","1","4535"
"11728","11727","1","4535"
"11730","11729","1","4535"
"11750","11749","1","4535"
"11754","11753","1","4535"
"11775","11774","1","4535"
"11786","11785","1","4535"
"11797","11796","1","4535"
"11891","11890","1","4535"
"11916","11915","1","4535"
"11930","11929","1","4535"
"11978","11976","1","4535"
"11978","11977","2","4535"
"11980","11979","1","4535"
"11983","11982","1","4535"
"11989","11988","1","4535"
"12000","11999","1","4535"
"12002","12001","1","4535"
"12028","12027","1","4535"
"12049","12048","1","4535"
"12113","12112","1","4535"
"12127","12126","1","4535"
"12134","12133","1","4535"
"12147","12146","1","4535"
"12170","12169","1","4535"
