pbs_code,prescribing_txt_id,pt_position,schedule_code
"10600X","8211","1","4535"
"10600X","7607","2","4535"
"10601Y","8211","1","4535"
"10601Y","7607","2","4535"
"10602B","8211","1","4535"
"10602B","8757","2","4535"
"10602B","8758","3","4535"
"10602B","8759","4","4535"
"10603C","8211","1","4535"
"10603C","7607","2","4535"
"10604D","8211","1","4535"
"10604D","7607","2","4535"
"10606F","8211","1","4535"
"10606F","7607","2","4535"
"10607G","8211","1","4535"
"10607G","8757","2","4535"
"10607G","8758","3","4535"
"10607G","8759","4","4535"
"10608H","8211","1","4535"
"10608H","8757","2","4535"
"10608H","8758","3","4535"
"10608H","8759","4","4535"
"10610K","8211","1","4535"
"10610K","8757","2","4535"
"10610K","8758","3","4535"
"10610K","8759","4","4535"
"10611L","8211","1","4535"
"10611L","8757","2","4535"
"10611L","8758","3","4535"
"10611L","8759","4","4535"
"10612M","8211","1","4535"
"10612M","7607","2","4535"
"10613N","8211","1","4535"
"10613N","8757","2","4535"
"10613N","8758","3","4535"
"10613N","8759","4","4535"
"10614P","17936","1","4535"
"10614P","33364","2","4535"
"10614P","25796","3","4535"
"10614P","7608","4","4535"
"10615Q","17936","1","4535"
"10615Q","17939","2","4535"
"10615Q","7608","3","4535"
"10616R","17936","1","4535"
"10616R","7608","2","4535"
"10617T","17936","1","4535"
"10617T","17939","2","4535"
"10617T","7608","3","4535"
"10618W","17936","1","4535"
"10618W","33364","2","4535"
"10618W","25796","3","4535"
"10618W","17939","4","4535"
"10618W","7608","5","4535"
"10619X","17936","1","4535"
"10619X","33364","2","4535"
"10619X","25796","3","4535"
"10619X","17939","4","4535"
"10619X","7608","5","4535"
"10620Y","16869","1","4535"
"10626G","32002","1","4535"
"10627H","32002","1","4535"
"10633P","32002","1","4535"
"10677Y","32002","1","4535"
"10682F","14726","1","4535"
"10682F","7607","2","4535"
"10684H","8211","1","4535"
"10684H","8757","2","4535"
"10684H","8758","3","4535"
"10684H","8759","4","4535"
"10694W","9950","1","4535"
"10694W","10728","2","4535"
"10694W","7606","3","4535"
"10694W","7607","4","4535"
"10697B","8211","1","4535"
"10697B","7607","2","4535"
"10698C","8211","1","4535"
"10698C","8757","2","4535"
"10698C","8758","3","4535"
"10698C","8759","4","4535"
"10713W","8211","1","4535"
"10713W","8757","2","4535"
"10713W","8758","3","4535"
"10713W","8759","4","4535"
"10714X","12912","1","4535"
"10714X","30999","2","4535"
"10714X","7607","3","4535"
"10729Q","8211","1","4535"
"10729Q","7607","2","4535"
"10731T","12912","1","4535"
"10731T","30999","2","4535"
"10731T","7607","3","4535"
"10732W","22470","1","4535"
"10732W","18495","2","4535"
"10732W","30379","3","4535"
"10737D","8211","1","4535"
"10737D","8757","2","4535"
"10737D","8758","3","4535"
"10737D","8759","4","4535"
"10738E","8211","1","4535"
"10738E","8757","2","4535"
"10738E","8758","3","4535"
"10738E","8759","4","4535"
"10743K","14726","1","4535"
"10743K","7607","2","4535"
"10745M","7607","1","4535"
"10745M","7608","2","4535"
"10746N","8211","1","4535"
"10746N","25651","2","4535"
"10746N","25574","3","4535"
"10748Q","7607","1","4535"
"10748Q","7608","2","4535"
"10755C","8211","1","4535"
"10755C","25651","2","4535"
"10755C","25574","3","4535"
"10756D","8211","1","4535"
"10756D","25651","2","4535"
"10756D","25574","3","4535"
"10757E","8211","1","4535"
"10757E","25651","2","4535"
"10757E","25574","3","4535"
"10758F","8211","1","4535"
"10758F","25651","2","4535"
"10758F","25574","3","4535"
"10764M","7607","1","4535"
"10764M","7608","2","4535"
"10767Q","32663","1","4535"
"10767Q","7606","2","4535"
"10767Q","7607","3","4535"
"10770W","8211","1","4535"
"10770W","25651","2","4535"
"10770W","25574","3","4535"
"10774C","32663","1","4535"
"10774C","33164","2","4535"
"10774C","29791","3","4535"
"10774C","7606","4","4535"
"10774C","7607","5","4535"
"10775D","7607","1","4535"
"10775D","7608","2","4535"
"10776E","8211","1","4535"
"10776E","25651","2","4535"
"10776E","25574","3","4535"
"10777F","9977","1","4535"
"10779H","9977","1","4535"
"10781K","9977","1","4535"
"10784N","16745","1","4535"
"10788T","18775","1","4535"
"10798H","7606","1","4535"
"10798H","7607","2","4535"
"10798H","28496","3","4535"
"10803N","7606","1","4535"
"10803N","7607","2","4535"
"10803N","28496","3","4535"
"10811B","7606","1","4535"
"10811B","7607","2","4535"
"10811B","28496","3","4535"
"10817H","7606","1","4535"
"10817H","7607","2","4535"
"10817H","28496","3","4535"
"10849B","16866","1","4535"
"10857K","16866","1","4535"
"10858L","8211","1","4535"
"10858L","13808","2","4535"
"10861P","33164","1","4535"
"10861P","29791","2","4535"
"10861P","28088","3","4535"
"10861P","7607","4","4535"
"10862Q","8211","1","4535"
"10863R","8211","1","4535"
"10863R","13808","2","4535"
"10863R","18949","3","4535"
"10864T","8211","1","4535"
"10864T","25598","2","4535"
"10864T","18949","3","4535"
"10864T","25574","4","4535"
"10865W","14559","1","4535"
"10865W","14562","2","4535"
"10865W","33164","3","4535"
"10865W","29791","4","4535"
"10865W","28088","5","4535"
"10866X","33164","1","4535"
"10866X","29791","2","4535"
"10866X","28088","3","4535"
"10866X","7607","4","4535"
"10867Y","33164","1","4535"
"10867Y","29791","2","4535"
"10867Y","28088","3","4535"
"10867Y","7607","4","4535"
"10868B","8211","1","4535"
"10869C","8211","1","4535"
"10869C","25598","2","4535"
"10869C","25574","3","4535"
"10870D","7776","1","4535"
"10871E","7776","1","4535"
"10872F","33164","1","4535"
"10872F","29791","2","4535"
"10872F","28088","3","4535"
