li_item_id,percentage_applied,event_type_code,schedule_code
"11041D_9505_1344_5821_55293","40.18","SPR_SINGLE_PD","4535"
"11041D_9505_1344_5821_55295","40.18","SPR_SINGLE_PD","4535"
"11041D_9505_1344_5821_55302","40.18","SPR_SINGLE_PD","4535"
"11041D_9505_1344_5821_56349","40.18","SPR_SINGLE_PD","4535"
"11041D_9505_1344_5821_7093","40.18","SPR_SINGLE_PD","4535"
"11042E_8839_1344_5820_55276","40.18","SPR_SINGLE_PD","4535"
"11042E_8839_1344_5820_55278","40.18","SPR_SINGLE_PD","4535"
"11042E_8839_1344_5820_55286","40.18","SPR_SINGLE_PD","4535"
"11042E_8839_1344_5820_56348","40.18","SPR_SINGLE_PD","4535"
"11042E_8839_1344_5820_7092","40.18","SPR_SINGLE_PD","4535"
"11055W_9505_1344_5821_55293","40.18","SPR_SINGLE_PD","4535"
"11055W_9505_1344_5821_55295","40.18","SPR_SINGLE_PD","4535"
"11055W_9505_1344_5821_55302","40.18","SPR_SINGLE_PD","4535"
"11055W_9505_1344_5821_56349","40.18","SPR_SINGLE_PD","4535"
"11055W_9505_1344_5821_7093","40.18","SPR_SINGLE_PD","4535"
"11062F_8839_1344_5820_55276","40.18","SPR_SINGLE_PD","4535"
"11062F_8839_1344_5820_55278","40.18","SPR_SINGLE_PD","4535"
"11062F_8839_1344_5820_55286","40.18","SPR_SINGLE_PD","4535"
"11062F_8839_1344_5820_56348","40.18","SPR_SINGLE_PD","4535"
"11062F_8839_1344_5820_7092","40.18","SPR_SINGLE_PD","4535"
"11063G_8119_1344_5819_55198","40.18","SPR_SINGLE_PD","4535"
"11063G_8119_1344_5819_55199","40.18","SPR_SINGLE_PD","4535"
"11063G_8119_1344_5819_55200","40.18","SPR_SINGLE_PD","4535"
"11063G_8119_1344_5819_56347","40.18","SPR_SINGLE_PD","4535"
"11063G_8119_1344_5819_7091","40.18","SPR_SINGLE_PD","4535"
"11064H_8119_1344_5819_55198","40.18","SPR_SINGLE_PD","4535"
"11064H_8119_1344_5819_55199","40.18","SPR_SINGLE_PD","4535"
"11064H_8119_1344_5819_55200","40.18","SPR_SINGLE_PD","4535"
"11064H_8119_1344_5819_56347","40.18","SPR_SINGLE_PD","4535"
"11064H_8119_1344_5819_7091","40.18","SPR_SINGLE_PD","4535"
"11103J_21147_41254_41255_41259","15.9","SPR_SINGLE_PD","4535"
"11103J_21147_41254_41255_56307","15.9","SPR_SINGLE_PD","4535"
"11103J_21147_41254_41255_56985","15.9","SPR_SINGLE_PD","4535"
"11103J_21147_41254_41255_57683","15.9","SPR_SINGLE_PD","4535"
"11107N_21147_41254_41255_41259","15.9","SPR_SINGLE_PD","4535"
"11107N_21147_41254_41255_56307","15.9","SPR_SINGLE_PD","4535"
"11107N_21147_41254_41255_56985","15.9","SPR_SINGLE_PD","4535"
"11107N_21147_41254_41255_57683","15.9","SPR_SINGLE_PD","4535"
"11406H_22198_38002_45014_56829","17.87","SPR_SINGLE_PD","4535"
"11406H_22198_38002_45014_57209","17.87","SPR_SINGLE_PD","4535"
"11406H_22198_38002_45014_57351","17.87","SPR_SINGLE_PD","4535"
"11406H_22198_38002_45014_58173","17.87","SPR_SINGLE_PD","4535"
"11406H_22198_38002_45014_59643","17.87","SPR_SINGLE_PD","4535"
"11410M_22199_38002_45018_56830","17.87","SPR_SINGLE_PD","4535"
"11410M_22199_38002_45018_57210","17.87","SPR_SINGLE_PD","4535"
"11410M_22199_38002_45018_57350","17.87","SPR_SINGLE_PD","4535"
"11410M_22199_38002_45018_58174","17.87","SPR_SINGLE_PD","4535"
"11410M_22199_38002_45018_65902","17.87","SPR_SINGLE_PD","4535"
"1153Q_9759_199_1752_12547","35.04","SPR_SINGLE_PD","4535"
"1153Q_9759_199_1752_55259","35.04","SPR_SINGLE_PD","4535"
"1153Q_9759_199_1752_56933","35.04","SPR_SINGLE_PD","4535"
"11621P_7851_391_46688_46709","13.43","SPR_SINGLE_PD","4535"
